,Tên xe,Năm SX,Kiểu dáng,Tình trạng,Xuất xứ,Tỉnh thành,Km đã đi,Quận huyện,Hộp số,Nhiên liệu
0,"  BMW 520i LCI 2018
             ",Năm SX 2018,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,Km đã đi 44.000 km, Quận huyện Quận 7 ,Hộp số Số tự động,Nhiên liệu Xăng
1,"

                Mitsubishi Triton 4x2 AT Mivec 2023
            
",Năm SX 2023,Kiểu dáng Bán Tải,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
2,"

                Mitsubishi Xpander AT Premium 2023
            
",Năm SX 2023,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
3,"

                Hyundai Grand i10 Hatchback 1.2 AT 2023
            
",Năm SX 2023,Kiểu dáng Hatchback,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
4,"

                Hyundai Accent 1.4 AT 2023
            
",Năm SX 2023,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
5,"

                Hyundai Creta 1.5L Tiêu chuẩn 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
6,"

                Ford EcoSport Titanium 1.5L AT 2017
            
",Năm SX 2017,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 48.000 km,"
Quận huyện
Thanh Xuân
",Hộp số Số tự động,Nhiên liệu Xăng
7,"

                VinFast Fadil Tiêu Chuẩn 2022
            
",Năm SX 2022,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 16.000 km,"
Quận huyện
Thanh Xuân
",Hộp số Số tự động,Nhiên liệu Xăng
8,"

                Suzuki Ertiga Hybrid Ertiga AT 2022
            
",Năm SX 2022,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Quận 2
",Hộp số Số tự động,Nhiên liệu Hybrid
9,"

                VinFast VF8 Plus 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Hai Bà Trưng
",Hộp số Số tự động,Nhiên liệu Điện
